"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1522737","occ","","","212973","Lioestheria sp.","genus","222093","","Lioestheria","genus","179624","Norian","","228","208.5","73524"
"1522739","occ","","","212973","Estheriina cf. kawasakii","species","57424","species not entered","Estheriina","genus","57424","Norian","","228","208.5","73524"
"1530379","occ","","","214720","Estheriina aequalis","species","57424","species not entered","Estheriina","genus","57424","Dienerian","","252.17","251.3","74103"
"1530380","occ","","","214720","Pseudestheria pliciferina","species","222092","species not entered","Pseudestheria","genus","222092","Dienerian","","252.17","251.3","74103"
"1530382","occ","","","214721","Pseudestheria pliciferina","species","222092","species not entered","Pseudestheria","genus","222092","Dienerian","","252.17","251.3","74103"
"1530383","occ","","","214721","Pseudestheria sibirica","species","222092","species not entered","Pseudestheria","genus","222092","Dienerian","","252.17","251.3","74103"
"1530384","occ","","","214721","Pseudestheria putjatensis","species","222092","species not entered","Pseudestheria","genus","222092","Dienerian","","252.17","251.3","74103"
"1530385","occ","","","214721","Pseudestheria tumariana","species","222092","species not entered","Pseudestheria","genus","222092","Dienerian","","252.17","251.3","74103"
"1530514","occ","","","214748","Limnadia glabra","species","133209","species not entered","Limnadia","genus","133209","Griesbachian","","252.17","251.3","74103"
"1530517","occ","","","214748","Pseudestheria pliciferina","species","222092","species not entered","Pseudestheria","genus","222092","Griesbachian","","252.17","251.3","74103"
"1530518","occ","","","214748","Pseudestheria vjatkanensis","species","222092","species not entered","Pseudestheria","genus","222092","Griesbachian","","252.17","251.3","74103"
"1530519","occ","","","214748","Pseudestheria sibirica","species","222092","species not entered","Pseudestheria","genus","222092","Griesbachian","","252.17","251.3","74103"
"1530520","occ","","","214748","Estheriina aequalis","species","57424","species not entered","Estheriina","genus","57424","Griesbachian","","252.17","251.3","74103"
"1530527","occ","","","214748","Pseudestheria kashirtzevi","species","222092","species not entered","Pseudestheria","genus","222092","Griesbachian","","252.17","251.3","74103"
"1530528","occ","","","214748","Pseudestheria putjatensis","species","222092","species not entered","Pseudestheria","genus","222092","Griesbachian","","252.17","251.3","74103"
"1530529","occ","","","214748","Pseudestheria tumariana","species","222092","species not entered","Pseudestheria","genus","222092","Griesbachian","","252.17","251.3","74103"
"1530530","occ","","","214748","Limnadia verchojanica","species","133209","species not entered","Limnadia","genus","133209","Griesbachian","","252.17","251.3","74103"
"1530538","occ","","","214749","Pseudestheria sp.","genus","222092","","Pseudestheria","genus","222092","Dienerian","","252.17","251.3","74103"
"1530539","occ","","","214749","Pseudestheria kashirtzevi","species","222092","species not entered","Pseudestheria","genus","222092","Dienerian","","252.17","251.3","74103"
"1540128","occ","","","216575","Estheriina n. sp. extuberata","species","430674","","Estheriina extuberata","species","430674","Asselian","Sakmarian","298.9","290.1","74855"
"1540240","occ","","","216606","Lioestheria striata","species","222093","species not entered","Lioestheria","genus","179624","Bashkirian","","323.2","315.2","43184"
"1540250","occ","","","216609","Lioestheria striata","species","222093","species not entered","Lioestheria","genus","179624","Bashkirian","","323.2","315.2","43184"
"1542080","occ","","","216991","Pseudestheria sp.","genus","222092","","Pseudestheria","genus","222092","Virgilian","","303.4","298.9","75237"
"1542179","occ","","","216993","Pseudestheria sp.","genus","222092","","Pseudestheria","genus","222092","Virgilian","","303.4","298.9","75237"
"1542436","occ","","","217022","Pseudestheria limbata","species","460610","","Pseudestheria limbata","species","460610","Kasimovian","","307","303.7","82212"
"1552292","occ","","","136382","Cyzicus pricei","species","57396","species not entered","Cyzicus","genus","57396","Late Jurassic","","163.5","145","75991"
"1552304","occ","","","136933","Cyzicus pricei","species","57396","species not entered","Cyzicus","genus","57396","Late Jurassic","","163.5","145","75991"
"1552309","occ","","","151878","Cyzicus pricei","species","57396","species not entered","Cyzicus","genus","57396","Late Jurassic","","163.5","145","75991"
"1552314","occ","","","211643","Cyzicus pricei","species","57396","species not entered","Cyzicus","genus","57396","Late Jurassic","","163.5","145","75991"
