"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"622696","occ","","","67034","Cladocera antarctica","species","277029","species not entered","Cladocera","order","277029","Danian","","66","61.6","19080"
"622798","occ","","","67052","Cladocera antarctica","species","277029","species not entered","Cladocera","order","277029","Danian","","66","61.6","19080"
"719340","occ","29076","","77192","Daphniidae indet.","family","277028","","Daphniidae","family","277028","Late Aptian","","122.46","112.03","48046"
"1185276","occ","","","123945","Daphnia n. sp. fossilis","species","284821","","Daphnia fossilis","species","284821","MP 30","","28.4","23.03","49290"
"1198044","occ","","","154940","Daphniidae indet.","family","277028","","Daphniidae","family","277028","Tortonian","","11.62","7.246","50471"
"1275239","occ","","","169347","Daphnia sp.","genus","284820","","Daphnia","genus","284820","Late Pleistocene","","0.126","0.0117","55325"
"1597302","occ","","","225781","Daphnia (Ctenodaphnia) sp.","subgenus","284820","obsolete variant of","Daphnia","genus","284820","Early Miocene","","23.03","15.97","81788"
"1605660","occ","","","227055","Cladocera sp.","genus","277029","","Cladocera","order","277029","Pleistocene","","2.588","0.0117","82477"
"1605661","occ","","","227055","Daphnia pulex","species","284820","species not entered","Daphnia","genus","284820","Pleistocene","","2.588","0.0117","82477"
